都道府県,市区町村,区,昼間人口
三重県,熊野市,null,20490
青森県,弘前市,null,195642
北海道,倶知安町,null,16216
愛知県,田原市,null,68343
三重県,伊賀市,null,101252
山梨県,山中湖村,null,5669
奈良県,大和郡山市,null,92686
沖縄県,名護市,null,64123
山形県,東根市,null,48321
茨城県,神栖市,null,100911
福岡県,大牟田市,null,128704
愛知県,豊根村,null,1422
香川県,宇多津町,null,19188
岩手県,盛岡市,null,317373
千葉県,館山市,null,51290
愛媛県,伊方町,null,11573
三重県,鳥羽市,null,22300
富山県,富山市,null,448669
兵庫県,洲本市,null,49148
宮崎県,木城町,null,5503
愛媛県,東温市,null,36663
静岡県,牧之原市,null,52100
東京都,青ヶ島村,null,209
群馬県,神流町,null,2499
長野県,大鹿村,null,1206
三重県,いなべ市,null,48517
栃木県,那須町,null,27825
長野県,木曽町,null,13531
宮崎県,諸塚村,null,1956
福岡県,北九州市,八幡東区,76219
福岡県,新宮町,null,25641
京都府,京都市,北区,129464
高知県,大川村,null,427
福島県,会津若松市,null,133698
熊本県,西原村,null,7056
京都府,福知山市,null,84356
岐阜県,岐阜市,null,428926
群馬県,太田市,null,229149
鹿児島県,徳之島町,null,12552
佐賀県,伊万里市,null,60498
熊本県,水俣市,null,28004
福島県,郡山市,null,357979
石川県,七尾市,null,60093
静岡県,吉田町,null,31492
高知県,須崎市,null,25623
高知県,南国市,null,52216
新潟県,三条市,null,106117
栃木県,大田原市,null,82030
宮崎県,都城市,null,175911
静岡県,熱海市,null,41787
鳥取県,日野町,null,3884
岐阜県,大垣市,null,169980
山口県,周南市,null,154999
富山県,黒部市,null,44080
北海道,洞爺湖町,null,10505
福井県,おおい町,null,9032
鳥取県,鳥取市,null,204660
福岡県,朝倉市,null,59313
北海道,幌加内町,null,1772
北海道,京極町,null,4007
北海道,猿払村,null,2927
青森県,八戸市,null,249778
大阪府,大阪市,西淀川区,101005
岡山県,高梁市,null,36742
京都府,京田辺市,null,70334
秋田県,能代市,null,62077
山形県,酒田市,null,115105
長崎県,島原市,null,49847
青森県,三沢市,null,42721
広島県,大崎上島町,null,8870
和歌山県,みなべ町,null,13945
和歌山県,北山村,null,510
北海道,鹿追町,null,5903
三重県,四日市市,null,318553
北海道,厚沢部町,null,4515
沖縄県,竹富町,null,3994
埼玉県,さいたま市,浦和区,148226
静岡県,下田市,null,25881
広島県,府中町,null,51632
愛知県,設楽町,null,5969
大分県,中津市,null,86301
福島県,福島市,null,302693
高知県,宿毛市,null,23137
奈良県,川上村,null,1699
広島県,府中市,null,43554
山口県,柳井市,null,35913
島根県,浜田市,null,63147
北海道,富良野市,null,25083
高知県,仁淀川町,null,6649
奈良県,天川村,null,1625
福井県,越前市,null,87571
北海道,更別村,null,3505
兵庫県,神戸市,長田区,103920
長野県,小海町,null,5352
岐阜県,白川村,null,1772
北海道,石狩市,null,61412
高知県,芸西村,null,4139
北海道,別海町,null,16375
愛知県,長久手町,null,53188
大阪府,大阪市,西成区,125958
福井県,美浜町,null,10799
沖縄県,浦添市,null,113936
岩手県,二戸市,null,30359
熊本県,長洲町,null,17131
北海道,鶴居村,null,2685
大阪府,東大阪市,null,526015
秋田県,横手市,null,100511
北海道,天塩町,null,3902
大分県,大分市,null,484375
高知県,四万十市,null,37078
北海道,三笠市,null,10439
岐阜県,美濃加茂市,null,56467
新潟県,柏崎市,null,93392
京都府,南丹市,null,36329
青森県,五所川原市,null,59660
長崎県,長崎市,null,457780
北海道,寿都町,null,3516
群馬県,明和町,null,11561
東京都,小笠原村,null,2844
北海道,津別町,null,5822
北海道,上士幌町,null,5187
茨城県,東海村,null,38601
宮崎県,宮崎市,null,408964
熊本県,熊本市,null,757093
三重県,亀山市,null,52074
北海道,芽室町,null,19480
東京都,利島村,null,348
岩手県,大船渡市,null,41963
三重県,川越町,null,14288
北海道,豊頃町,null,3496
愛知県,名古屋市,瑞穂区,107199
宮城県,仙台市,若林区,136282
千葉県,大多喜町,null,10888
長野県,坂城町,null,16201
兵庫県,豊岡市,null,87326
徳島県,三好市,null,30844
愛媛県,新居浜市,null,124200
北海道,興部町,null,4429
東京都,御蔵島村,null,355
北海道,斜里町,null,13432
宮崎県,椎葉村,null,3154
岡山県,備前市,null,38953
北海道,本別町,null,8438
群馬県,高崎市,null,382208
静岡県,小山町,null,21032
北海道,仁木町,null,3911
北海道,新得町,null,6779
北海道,標津町,null,5810
北海道,留萌市,null,24916
沖縄県,座間味村,null,890
山口県,下松市,null,56043
三重県,津市,null,293965
北海道,幌延町,null,2727
高知県,高知市,null,353217
愛媛県,八幡浜市,null,39078
沖縄県,北大東村,null,684
福島県,棚倉町,null,15339
群馬県,千代田町,null,11796
兵庫県,加西市,null,48874
北海道,音威子府村,null,1023
佐賀県,吉野ヶ里町,null,16705
北海道,大空町,null,8156
秋田県,湯沢市,null,51766
三重県,尾鷲市,null,20596
熊本県,菊池市,null,51096
大分県,竹田市,null,25109
愛知県,常滑市,null,55841
福井県,小浜市,null,32213
熊本県,苓北町,null,8462
北海道,佐呂間町,null,6054
静岡県,静岡市,駿河区,216850
愛知県,安城市,null,183592
鹿児島県,薩摩川内市,null,101360
熊本県,錦町,null,11378
長野県,平谷村,null,573
北海道,函館市,null,286732
鹿児島県,霧島市,null,129751
北海道,浦河町,null,14781
青森県,青森市,null,304698
北海道,利尻町,null,2659
静岡県,磐田市,null,171536
鹿児島県,志布志市,null,33914
北海道,湧別町,null,10214
福島県,金山町,null,2527
滋賀県,彦根市,null,114070
北海道,砂川市,null,19559
奈良県,天理市,null,70352
岡山県,津山市,null,109600
北海道,下川町,null,3838
山形県,長井市,null,30241
福井県,敦賀市,null,68887
静岡県,浜松市,北区,97144
岩手県,宮古市,null,60406
広島県,大竹市,null,29583
広島県,三次市,null,57518
新潟県,長岡市,null,289952
埼玉県,さいたま市,岩槻区,113066
長野県,上田市,null,163649
宮城県,七ヶ宿町,null,1721
千葉県,鴨川市,null,36668
鹿児島県,さつま町,null,24493
宮城県,角田市,null,32121
北海道,小樽市,null,134026
沖縄県,渡嘉敷村,null,779
広島県,三原市,null,102105
北海道,清水町,null,10208
沖縄県,北谷町,null,27696
北海道,東川町,null,8051
秋田県,大館市,null,80192
愛媛県,久万高原町,null,9879
石川県,穴水町,null,9888
愛知県,東海市,null,110307
北海道,真狩村,null,2223
宮崎県,高千穂町,null,13933
岩手県,一関市,null,119580
岩手県,久慈市,null,37430
滋賀県,栗東市,null,64183
沖縄県,東村,null,1821
新潟県,粟島浦村,null,369
大阪府,大阪市,東成区,81431
新潟県,小千谷市,null,38916
沖縄県,大宜味村,null,3269
埼玉県,美里町,null,11697
岐阜県,高山市,null,94121
島根県,吉賀町,null,6863
鹿児島県,鹿児島市,null,614759
埼玉県,本庄市,null,82525
愛媛県,宇和島市,null,85447
兵庫県,朝来市,null,33058
北海道,浜頓別町,null,4229
大分県,日田市,null,71464
北海道,網走市,null,41591
沖縄県,多良間村,null,1240
香川県,琴平町,null,10111
北海道,奥尻町,null,3055
北海道,赤平市,null,12816
島根県,益田市,null,50377
福岡県,豊前市,null,27405
愛知県,西尾市,null,107592
鹿児島県,中種子町,null,8816
徳島県,那賀町,null,9385
愛知県,幸田町,null,38451
福岡県,八女市,null,69532
広島県,安芸太田町,null,7354
山梨県,北杜市,null,47289
和歌山県,田辺市,null,80196
新潟県,燕市,null,82419
岩手県,岩泉町,null,10951
兵庫県,高砂市,null,94513
愛媛県,松山市,null,524142
北海道,羅臼町,null,5923
長崎県,佐世保市,null,264519
高知県,土佐町,null,4386
東京都,三宅村,null,2711
富山県,魚津市,null,45242
山形県,小国町,null,8976
沖縄県,与那国町,null,1667
富山県,高岡市,null,178300
福岡県,久留米市,null,304186
宮崎県,延岡市,null,132850
山梨県,身延町,null,14545
石川県,小松市,null,109758
岩手県,一戸町,null,14268
北海道,標茶町,null,8386
沖縄県,久米島町,null,8567
鹿児島県,十島村,null,665
福島県,白河市,null,65067
鹿児島県,鹿屋市,null,106349
兵庫県,西脇市,null,43042
広島県,広島市,西区,189255
北海道,雄武町,null,4966
京都府,綾部市,null,36265
群馬県,富岡市,null,52351
福島県,三島町,null,1949
北海道,浜中町,null,6546
北海道,森町,null,18072
群馬県,上野村,null,1313
北海道,足寄町,null,7721
北海道,旭川市,null,348932
鹿児島県,天城町,null,6732
長野県,伊那市,null,71446
愛媛県,今治市,null,168495
栃木県,真岡市,null,82695
北海道,栗山町,null,13497
沖縄県,南大東村,null,1449
和歌山県,湯浅町,null,13365
山梨県,富士河口湖町,null,25593
岩手県,矢巾町,null,27522
鹿児島県,三島村,null,420
大阪府,守口市,null,148401
北海道,釧路市,null,182016
兵庫県,姫路市,null,542402
北海道,根室市,null,29337
北海道,礼文町,null,3113
福島県,西郷村,null,19859
山口県,山口市,null,198863
北海道,滝上町,null,3042
熊本県,阿蘇市,null,28766
広島県,海田町,null,28606
大阪府,大東市,null,128974
北海道,稚内市,null,39775
山梨県,中央市,null,31675
島根県,飯南町,null,5559
鹿児島県,知名町,null,6880
福島県,南会津町,null,17942
栃木県,小山市,null,166226
広島県,福山市,null,463356
鹿児島県,南さつま市,null,39121
秋田県,にかほ市,null,27661
広島県,庄原市,null,40677
石川県,輪島市,null,29981
長崎県,諫早市,null,142246
北海道,せたな町,null,9628
徳島県,つるぎ町,null,10601
鹿児島県,南九州市,null,39217
石川県,珠洲市,null,16472
愛知県,名古屋市,南区,141832
宮城県,村田町,null,12121
埼玉県,滑川町,null,17386
沖縄県,伊是名村,null,1605
福島県,矢吹町,null,18472
北海道,深川市,null,23945
静岡県,掛川市,null,116771
北海道,名寄市,null,30895
沖縄県,粟国村,null,866
愛媛県,四国中央市,null,91079
東京都,大島町,null,8490
栃木県,上三川町,null,31931
鹿児島県,瀬戸内町,null,9907
茨城県,常総市,null,65945
東京都,八丈町,null,8258
北海道,中川町,null,1925
北海道,平取町,null,5614
北海道,弟子屈町,null,8356
東京都,神津島村,null,1895
山形県,鶴岡市,null,137881
愛知県,大府市,null,85517
宮城県,石巻市,null,162288
岡山県,奈義町,null,6103
北海道,長万部町,null,6444
鹿児島県,屋久島町,null,13625
山口県,宇部市,null,175324
沖縄県,伊江村,null,4749
福岡県,飯塚市,null,132654
東京都,新島村,null,2890
北海道,新ひだか町,null,25643
福岡県,北九州市,若松区,85368
愛媛県,大洲市,null,47569
新潟県,上越市,null,204356
鹿児島県,奄美市,null,46518
鹿児島県,喜界町,null,8187
青森県,十和田市,null,66670
島根県,海士町,null,2379
鹿児島県,出水市,null,55736
長野県,阿智村,null,7012
高知県,安芸市,null,19587
福岡県,大川市,null,37320
福島県,昭和村,null,1503
東京都,八王子市,null,578039
熊本県,多良木町,null,10573
沖縄県,伊平屋村,null,1380
北海道,美瑛町,null,10975
北海道,黒松内町,null,3238
新潟県,佐渡市,null,62832
神奈川県,平塚市,null,259777
徳島県,阿南市,null,76182
北海道,長沼町,null,11645
島根県,隠岐の島町,null,15545
大分県,佐伯市,null,76636
沖縄県,宮古島市,null,52115
青森県,東通村,null,7222
熊本県,八代市,null,132456
鹿児島県,西之表市,null,16880
北海道,白老町,null,19399
徳島県,海陽町,null,10402
北海道,八雲町,null,18918
新潟県,南魚沼市,null,61363
高知県,四万十町,null,18754
北海道,妹背牛町,null,3447
長崎県,対馬市,null,34443
宮崎県,日南市,null,57430
北海道,美深町,null,5183
長崎県,西海市,null,31028
滋賀県,愛荘町,null,20136
和歌山県,串本町,null,18161
北海道,苫小牧市,null,173468
福島県,只見町,null,4908
福島県,相馬市,null,37848
静岡県,富士市,null,252788
鹿児島県,与論町,null,5331
福島県,いわき市,null,340569
香川県,小豆島町,null,16164
北海道,滝川市,null,42955
福島県,本宮市,null,31509
青森県,西目屋村,null,1586
北海道,羽幌町,null,7969
岐阜県,岐南町,null,23682
岐阜県,関市,null,91473
北海道,枝幸町,null,9073
山口県,美祢市,null,28647
北海道,厚岸町,null,10569
北海道,苫前町,null,3658
鹿児島県,和泊町,null,7072
長崎県,小値賀町,null,2850
兵庫県,養父市,null,26344
長野県,佐久市,null,100582
北海道,北竜町,null,2180
北海道,紋別市,null,24757
広島県,尾道市,null,144320
長崎県,壱岐市,null,29383
山口県,周防大島町,null,18964
高知県,檮原町,null,3984
静岡県,袋井市,null,84286
長野県,飯山市,null,23543
長野県,岡谷市,null,52486
北海道,えりも町,null,5412
北海道,陸別町,null,2631
北海道,置戸町,null,3427
島根県,知夫村,null,652
長野県,箕輪町,null,26206
山形県,寒河江市,null,42047
北海道,由仁町,null,5894
三重県,玉城町,null,15179
宮城県,気仙沼市,null,73460
香川県,観音寺市,null,62204
福岡県,福岡市,東区,292082
秋田県,大仙市,null,87615
栃木県,佐野市,null,121197
大分県,豊後高田市,null,23719
青森県,三戸町,null,11294
北海道,美唄市,null,25829
北海道,北見市,null,125627
佐賀県,大町町,null,7309
香川県,善通寺市,null,33799
京都府,舞鶴市,null,87944
岐阜県,美濃市,null,22616
長崎県,時津町,null,29859
宮崎県,小林市,null,48239
北海道,むかわ町,null,9664
茨城県,大洗町,null,18314
島根県,斐川町,null,27456
長野県,大町市,null,29777
岐阜県,中津川市,null,80202
沖縄県,金武町,null,11056
北海道,初山別村,null,1357
神奈川県,横浜市,神奈川区,233168
新潟県,新潟市,江南区,68747
高知県,大豊町,null,4713
静岡県,浜松市,南区,101468
島根県,西ノ島町,null,3132
秋田県,北秋田市,null,36057
鹿児島県,南種子町,null,6210
鹿児島県,南大隅町,null,8734
沖縄県,宜野座村,null,5323
長野県,塩尻市,null,67032
鳥取県,境港市,null,35204
新潟県,糸魚川市,null,47248
熊本県,南関町,null,10546
鹿児島県,伊佐市,null,29019
北海道,士別市,null,21747
北海道,木古内町,null,5288
沖縄県,石垣市,null,46835
熊本県,南小国町,null,4384
奈良県,野迫川村,null,523
愛知県,碧南市,null,71285
長崎県,松浦市,null,25096
鹿児島県,阿久根市,null,22917
熊本県,天草市,null,88889
福島県,富岡町,null,15837
三重県,伊勢市,null,130010
静岡県,西伊豆町,null,9368
和歌山県,白浜町,null,22649
長野県,中野市,null,45148
宮崎県,えびの市,null,21558
岡山県,倉敷市,null,470398
長崎県,五島市,null,40523
北海道,利尻富士町,null,3003
宮崎県,日向市,null,63065
北海道,知内町,null,5017
北海道,雨竜町,null,3041
群馬県,伊勢崎市,null,204878
北海道,日高町,null,13576
青森県,むつ市,null,60368
広島県,安芸高田市,null,31393
栃木県,矢板市,null,34938
北海道,古平町,null,3600
静岡県,浜松市,東区,125152
長野県,阿南町,null,5437
岩手県,西和賀町,null,6526
岐阜県,下呂市,null,36193
徳島県,板野町,null,14074
愛知県,日進市,null,83955
北海道,遠軽町,null,22002
鹿児島県,指宿市,null,43866
新潟県,十日町市,null,57800
秋田県,仙北市,null,29204
石川県,羽咋市,null,22595
広島県,東広島市,null,187779
島根県,大田市,null,37272
新潟県,津南町,null,10746
兵庫県,稲美町,null,30434
愛知県,半田市,null,117337
大阪府,大阪市,都島区,100668
沖縄県,沖縄市,null,128607
長野県,茅野市,null,55306
熊本県,山都町,null,16766
北海道,鹿部町,null,4675
長野県,川上村,null,4909
北海道,和寒町,null,3758
北海道,札幌市,白石区,201654
大分県,別府市,null,122959
兵庫県,相生市,null,30759
北海道,西興部村,null,1113
東京都,大田区,null,684451
北海道,中標津町,null,23516
福島県,広野町,null,5348
福井県,高浜町,null,10845
徳島県,牟岐町,null,4763
群馬県,川場村,null,3821
高知県,北川村,null,1349
北海道,浦臼町,null,2162
福岡県,北九州市,門司区,103070
福島県,南相馬市,null,69455
埼玉県,熊谷市,null,200405
高知県,室戸市,null,14904
北海道,愛別町,null,3282
兵庫県,神戸市,灘区,130753
埼玉県,東松山市,null,88847
新潟県,新発田市,null,99146
群馬県,館林市,null,77510
長野県,白馬村,null,9017
大阪府,吹田市,null,350816
青森県,外ヶ浜町,null,6944
広島県,呉市,null,236596
島根県,邑南町,null,11714
東京都,多摩市,null,145569
北海道,今金町,null,6059
宮城県,白石市,null,36894
岩手県,住田町,null,6062
山口県,下関市,null,276979
岐阜県,郡上市,null,43555
兵庫県,佐用町,null,18992
静岡県,森町,null,19026
兵庫県,小野市,null,48973
京都府,宇治田原町,null,9506
群馬県,嬬恋村,null,10036
千葉県,君津市,null,87280
香川県,土庄町,null,14904
高知県,奈半利町,null,3467
滋賀県,長浜市,null,122326
長崎県,大村市,null,88600
熊本県,小国町,null,7761
