ラウンドワン函館店
北海道函館市西桔梗町８４８－１１
ｎａｍｃｏ札幌エスタ店
北海道札幌市中央区北５条西２－１－１札幌エスタ９Ｆ
タイトーステーション 札幌狸小路店
北海道札幌市中央区南２条西３丁目６－１
ディノスパーク札幌中央
北海道札幌市中央区南三条西１丁目８番地須貝ビルＢ１Ｆ
ソユーゲームフィールド札幌発寒店
北海道札幌市西区発寒８条１２－１－１イオンモール札幌発寒３Ｆ
ラウンドワン札幌すすきの店
北海道札幌市中央区南５条西３－６－１
ソユーゲームフィールド旭川駅前店
北海道旭川市宮下通7丁目2番5号イオンモール旭川駅前４F
ラウンドワン旭川店
北海道旭川市永山３条１－４－７
光速憧路
北海道稚内市港５丁目８－１５
